Model,RMSE ($),MAE ($),R2 Score,5-Fold CV RMSE ($),Training Time (s)
Linear Regression,22610.58558400009,15817.659693773332,0.9074468113143153,26154.701745188613,0.059207916259765625
Ridge,20492.228860426527,14682.581149648997,0.9239767974737956,22585.965906851507,0.2525320053100586
Lasso,20089.419094697794,14731.005357603995,0.9269361549954509,23170.123108541036,0.167572021484375
Random Forest,23415.717383556057,16428.29157957874,0.900738073223044,27453.522247535864,0.7325515747070312
XGBoost,20406.499301069474,14616.096064319343,0.9246115554399377,23557.540359048977,0.5950236320495605
